[08-Jul-2026 01:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 01:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 01:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 01:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 01:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:00:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:10:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:20:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:25:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:30:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:50:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 02:55:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 03:00:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 03:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 03:10:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 03:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
