[2026-07-04 04:27:35] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-04 06:57:33] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-04 07:30:41] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-04 15:58:45] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-04 15:58:45] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-04 15:58:46] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-04 15:58:46] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-04 15:58:46] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-04 15:58:46] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-04 15:58:46] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-04 15:58:47] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-04 16:01:09] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-04 16:01:10] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-04 16:01:10] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-04 16:01:28] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-04 16:01:28] [INFO] Router Dispatch - Method: GET, Path: /api/env
