[2026-08-08 00:23:15] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 04:22:29] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 04:32:21] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 04:58:49] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 05:01:02] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 05:01:04] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-08-08 05:01:04] [INFO] Router Dispatch - Method: GET, Path: /api/v1/settings
[2026-08-08 05:01:04] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-08-08 05:01:04] [INFO] Router Dispatch - Method: GET, Path: /api/v2/config
[2026-08-08 05:01:04] [INFO] Router Dispatch - Method: GET, Path: /api/v1/config
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/v2/settings
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/openapi.json
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/health
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/account
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/v1/env
[2026-08-08 05:01:05] [INFO] Router Dispatch - Method: GET, Path: /api/graphql
[2026-08-08 07:35:37] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 09:26:40] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 10:00:38] [INFO] Router Dispatch - Method: GET, Path: /api/system/env
[2026-08-08 10:00:38] [INFO] Router Dispatch - Method: GET, Path: /api/system/params
[2026-08-08 12:43:09] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 13:09:38] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 13:26:29] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 13:26:30] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 13:28:20] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 13:28:20] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 13:40:26] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 16:11:34] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 16:26:59] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 16:26:59] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 16:33:07] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 16:55:05] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 17:03:01] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 18:03:06] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-08 18:12:04] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 19:58:10] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-08 23:12:23] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
