[2026-07-14 05:27:12] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 07:14:44] [INFO] Router Dispatch - Method: GET, Path: /api/v1
[2026-07-14 07:14:44] [INFO] Router Dispatch - Method: GET, Path: /api/v2
[2026-07-14 09:46:58] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 13:36:22] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 14:03:35] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 14:04:17] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 15:22:11] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 17:34:39] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-14 18:30:53] [INFO] Router Dispatch - Method: GET, Path: /user
[2026-07-14 18:31:18] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-14 18:31:19] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-14 18:31:20] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-14 18:31:21] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-14 18:31:21] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-14 18:31:23] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-14 18:31:27] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-14 18:31:28] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-14 19:37:54] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-07-14 19:37:54] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-07-14 19:37:55] [INFO] Router Dispatch - Method: GET, Path: /api/v3/.env
[2026-07-14 19:37:55] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-07-14 19:37:55] [INFO] Router Dispatch - Method: GET, Path: /api/staging/.env
