[2026-08-16 00:49:07] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 00:50:15] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 00:56:59] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 01:05:36] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 01:28:37] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 02:22:28] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-16 02:22:28] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-08-16 02:22:28] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-16 02:22:29] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-08-16 02:22:48] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-16 02:22:49] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-08-16 02:22:50] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-08-16 02:22:52] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-08-16 02:25:57] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-08-16 02:25:57] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-08-16 02:51:24] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 03:09:38] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 03:25:04] [INFO] Router Dispatch - Method: GET, Path: /api/.git/config
[2026-08-16 03:25:04] [INFO] Router Dispatch - Method: GET, Path: /api/.git/config
[2026-08-16 06:46:02] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 08:06:50] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 10:06:02] [INFO] Router Dispatch - Method: GET, Path: /api/endpoint
[2026-08-16 10:06:03] [INFO] Router Dispatch - Method: GET, Path: /[[...slug]]
[2026-08-16 10:06:05] [INFO] Router Dispatch - Method: GET, Path: /api/test
[2026-08-16 10:06:29] [INFO] Router Dispatch - Method: GET, Path: /api/shared/config/.env
[2026-08-16 10:06:29] [INFO] Router Dispatch - Method: GET, Path: /api/shared/.env
[2026-08-16 10:06:29] [INFO] Router Dispatch - Method: GET, Path: /api/shared/config/config.env
[2026-08-16 10:06:29] [INFO] Router Dispatch - Method: GET, Path: /api/config.env
[2026-08-16 10:06:34] [INFO] Router Dispatch - Method: GET, Path: /api/shared/config/config.env
[2026-08-16 10:06:45] [INFO] Router Dispatch - Method: GET, Path: /api/shared/config.env
[2026-08-16 10:06:48] [INFO] Router Dispatch - Method: GET, Path: /api/config.js
[2026-08-16 10:06:52] [INFO] Router Dispatch - Method: GET, Path: /api/config.js
[2026-08-16 10:06:54] [INFO] Router Dispatch - Method: GET, Path: /api/shared/config.env
[2026-08-16 10:06:55] [INFO] Router Dispatch - Method: GET, Path: /api/objects/codes.php.save
[2026-08-16 10:07:01] [INFO] Router Dispatch - Method: GET, Path: /api/config/config.yml
[2026-08-16 10:07:01] [INFO] Router Dispatch - Method: GET, Path: /api/objects/codes.php.save
[2026-08-16 10:07:03] [INFO] Router Dispatch - Method: GET, Path: /api/_action/config
[2026-08-16 10:07:16] [INFO] Router Dispatch - Method: GET, Path: /api/graphql
[2026-08-16 10:07:36] [INFO] Router Dispatch - Method: GET, Path: /api/graphql
[2026-08-16 10:45:19] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 12:52:31] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 13:08:08] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 13:44:20] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 13:45:56] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 13:50:59] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 13:51:59] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 15:07:18] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 15:07:18] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 16:57:07] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 16:57:38] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 18:09:22] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-08-16 22:23:37] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
