[2026-07-16 04:32:30] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 05:05:24] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 05:05:25] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 05:05:28] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 05:05:30] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 05:05:30] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 05:05:31] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 05:05:33] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 05:05:33] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 05:48:58] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 05:48:58] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 07:34:06] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 08:15:50] [INFO] Router Dispatch - Method: GET, Path: /api/user
[2026-07-16 08:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/v1/*
[2026-07-16 08:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/v1/workflows
[2026-07-16 08:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/v1/executions
[2026-07-16 08:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/v1/credentials
[2026-07-16 08:16:30] [INFO] Router Dispatch - Method: GET, Path: /api/*
[2026-07-16 08:16:31] [INFO] Router Dispatch - Method: GET, Path: /api/auth/*
[2026-07-16 08:16:31] [INFO] Router Dispatch - Method: GET, Path: /api/users/*
[2026-07-16 08:16:31] [INFO] Router Dispatch - Method: GET, Path: /api/data/*
[2026-07-16 08:16:31] [INFO] Router Dispatch - Method: GET, Path: /api/webhook/*
[2026-07-16 08:16:41] [INFO] Router Dispatch - Method: GET, Path: /api/serverless/*
[2026-07-16 08:16:45] [INFO] Router Dispatch - Method: GET, Path: /api/login
[2026-07-16 08:16:45] [INFO] Router Dispatch - Method: GET, Path: /api/credentials
[2026-07-16 10:40:14] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 11:40:50] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 12:17:23] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 12:21:22] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 14:08:48] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 14:40:31] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 15:14:56] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 15:42:13] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 16:01:44] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-16 16:29:55] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 16:29:56] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 16:29:57] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 16:29:58] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 16:30:01] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 16:30:04] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 16:30:05] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 16:30:07] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 20:17:04] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 20:17:05] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 20:17:05] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 20:17:06] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 20:17:12] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-16 20:17:14] [INFO] Router Dispatch - Method: POST, Path: /api/gql
[2026-07-16 20:20:03] [INFO] Router Dispatch - Method: GET, Path: /user
[2026-07-16 20:20:03] [INFO] Router Dispatch - Method: GET, Path: /user
[2026-07-16 20:32:44] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:32:44] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:32:44] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:32:44] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:32:44] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:32:45] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:33:07] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:33:07] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:33:07] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:33:08] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:33:09] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:33:09] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:33:10] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:33:10] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:33:11] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:33:56] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:33:56] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:33:56] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:34:04] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:34:05] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:34:06] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 20:34:26] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-16 20:34:26] [INFO] Router Dispatch - Method: GET, Path: /api/settings
[2026-07-16 20:34:29] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-16 21:30:27] [INFO] Router Dispatch - Method: GET, Path: /api/v1/.env
[2026-07-16 21:30:27] [INFO] Router Dispatch - Method: GET, Path: /api/v2/.env
[2026-07-16 21:30:28] [INFO] Router Dispatch - Method: GET, Path: /api/v3/.env
[2026-07-16 21:30:28] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-07-16 21:30:28] [INFO] Router Dispatch - Method: GET, Path: /api/staging/.env
