[2026-07-05 07:22:54] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-05 09:31:02] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-05 10:34:14] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-05 12:10:19] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-05 14:45:48] [INFO] Router Dispatch - Method: GET, Path: /api/*
[2026-07-05 14:45:48] [INFO] Router Dispatch - Method: GET, Path: /api/auth/*
[2026-07-05 14:45:48] [INFO] Router Dispatch - Method: GET, Path: /api/credentials
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/info.php
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/login
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/phpinfo.php
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/common.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/serverless/*
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/config.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/settings.py
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/config/constants.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/constants.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/config/common.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/user
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/constant.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/data/*
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/users/*
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/env.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/node/common.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/node/constants.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/node/constant.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/node/config.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/v1/*
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/v1/credentials
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/v1/workflows
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/server.js
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/v1/executions
[2026-07-05 14:45:49] [INFO] Router Dispatch - Method: GET, Path: /api/webhook/*
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/*
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/auth/*
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/credentials
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/info.php
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/login
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/data/*
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/phpinfo.php
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/common.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/config.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/config/common.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/config/constants.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/constant.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/constants.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/node/common.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/env.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/node/config.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/serverless/*
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/settings.py
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/node/constant.js
[2026-07-05 14:46:01] [INFO] Router Dispatch - Method: GET, Path: /api/user
