[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/landing/check
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/system/customer-service
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: POST, Path: /api/chat/visitor/channelInfo
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/v6/Comm/getVersionInfoV4
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/common/menus
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/new-version/daily/rooms/1
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/app/getserviceinfo
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/app/contract/getMarketList
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/currency/getTradeCurrencyList
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/seller/index/GetSellerConfigAll
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/api/exchangerateuserconfig!get.action
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: GET, Path: /api/set/appSysSet/getKeyByParam
[2026-07-17 15:10:57] [INFO] Router Dispatch - Method: POST, Path: /api/system/systemConfigs/getCustomerServiceLink
[2026-07-17 15:10:58] [INFO] Router Dispatch - Method: POST, Path: /api/heartbeat
[2026-07-17 16:27:34] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-17 16:27:34] [INFO] Router Dispatch - Method: GET, Path: /api/config
[2026-07-17 16:29:19] [INFO] Router Dispatch - Method: POST, Path: /api/v1/payment/sms
[2026-07-17 22:16:22] [INFO] Router Dispatch - Method: GET, Path: /api/.aws/credentials
[2026-07-17 22:16:22] [INFO] Router Dispatch - Method: GET, Path: /api/.aws/config
[2026-07-17 22:16:22] [INFO] Router Dispatch - Method: GET, Path: /api/api/.env
[2026-07-17 22:16:23] [INFO] Router Dispatch - Method: GET, Path: /api/app/.env
[2026-07-17 22:16:23] [INFO] Router Dispatch - Method: GET, Path: /api/auth/*
[2026-07-17 22:16:23] [INFO] Router Dispatch - Method: GET, Path: /api/beta/.env
[2026-07-17 22:16:23] [INFO] Router Dispatch - Method: GET, Path: /api/config/.env
[2026-07-17 22:16:23] [INFO] Router Dispatch - Method: GET, Path: /api/config/smtp.php
[2026-07-17 22:16:23] [INFO] Router Dispatch - Method: GET, Path: /api/config/mail.php
[2026-07-17 22:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/config/email.php
[2026-07-17 22:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/config/services.php
[2026-07-17 22:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/config/mailer.yml
[2026-07-17 22:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/config/smtp.yml
[2026-07-17 22:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/config/email.yml
[2026-07-17 22:16:24] [INFO] Router Dispatch - Method: GET, Path: /api/config/parameters.yml
[2026-07-17 22:16:25] [INFO] Router Dispatch - Method: GET, Path: /api/config/database.php
[2026-07-17 22:16:25] [INFO] Router Dispatch - Method: GET, Path: /api/config/secret********
[2026-07-17 22:16:25] [INFO] Router Dispatch - Method: GET, Path: /api/config/credentials.json
[2026-07-17 22:16:25] [INFO] Router Dispatch - Method: GET, Path: /api/config/settings.json
[2026-07-17 22:16:25] [INFO] Router Dispatch - Method: GET, Path: /api/credentials
[2026-07-17 22:16:26] [INFO] Router Dispatch - Method: GET, Path: /api/data/*
[2026-07-17 22:16:26] [INFO] Router Dispatch - Method: GET, Path: /api/dev/.env
[2026-07-17 22:16:26] [INFO] Router Dispatch - Method: GET, Path: /api/info.php
[2026-07-17 22:16:26] [INFO] Router Dispatch - Method: GET, Path: /api/login
[2026-07-17 22:16:26] [INFO] Router Dispatch - Method: GET, Path: /api/phpinfo.php
[2026-07-17 22:16:26] [INFO] Router Dispatch - Method: GET, Path: /api/test/.env
[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/user
[2026-07-17 22:16:27] [INFO] Router Dispatch - Method: GET, Path: /api/users/*
